C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults ñ Medication Review,C10: Care for Older Adults ñ Functional Status Assessment,C11: Care for Older Adults ñ Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: DiabetesCare ñ Eye Exam,C14: DiabetesCare ñ Kidney Disease Monitoring,C15: DiabetesCare ñ Blood Sugar Controlled,C16: Controlling Blood Pressure,C17: Rheumatoid Arthritis Management,C18: Reducing the Risk of Falling,C19: Plan All-Cause Readmissions,C20: Getting Needed Care,C21: Getting Appointments and Care Quickly,C22: Customer Service,C23: Rating of Health Care Quality,C24: Rating of Health Plan,C25: Care Coordination,C26: Complaints about the Health Plan,C27: Members Choosing to Leave the Plan,C28: Beneficiary Access and Performance Problems,C29: Health Plan Quality Improvement,C30: Plan Makes Timely Decisions about Appeals,C31: Reviewing Appeals Decisions,C32: Call Center ñ Foreign Language Interpreter and TTY Availability,D01: Call Center ñ Foreign Language Interpreter and TTY Availability,D02: Appeals AutoñForward,D03: Appeals Upheld,D04: Complaints about the Drug Plan
01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,04/18/2014 - 07/31/2014,01/01/2014 - 12/31/2014,02/15/2015 - 05/31/2015,02/15/2015 - 05/31/2015,02/15/2015 - 05/31/2015,02/15/2015 - 05/31/2015,02/15/2015 - 05/31/2015,02/15/2015 - 05/31/2015,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,Not Applicable,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,03/23/2015 - 06/05/2015,03/23/2015 - 06/05/2015,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014,01/01/2014 - 12/31/2014
Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,No data available,0.05
Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0
Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0.3,76%,0.01
Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,No data available,0.01
Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0.02
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No data available,0,0
95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,66%,94%,75%,83%,73%,58%,11%,0,75%,0,87%,86%,89%,0.97,15%,60,Medicare shows only a Star Rating for this topic,0,0,96%,98%,0,0,0.97
95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,45%,67%,92%,82%,68%,79%,53%,9%,89%,74%,89%,88%,88%,86%,0.09,6%,80,Medicare shows only a Star Rating for this topic,97%,87%,93%,94%,19.2,68%,0.09
Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,95%,98%,0,0,0
No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,0,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,0,0,0,0,0,0,0,No data available,No data available,No data available
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,80,0,0,0,98%,94%,0,0,0
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No data available,0,0
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No data available,0,0
99%,62.40%,96%,85%,94%,81%,79%,96%,85%,71%,73%,65%,10%,85%,73%,88%,87%,88%,84%,0.13,9%,80,Medicare shows only a Star Rating for this topic,91%,91%,94%,98%,0,0,0.13
98%,18.60%,95%,76%,95%,49%,64%,89%,72%,67%,75%,66%,11%,81%,70%,88%,82%,85%,82%,0.16,18%,100,Medicare shows only a Star Rating for this topic,100%,100%,96%,98%,0.3,0,0.16
96%,53.80%,94%,78%,89%,46%,69%,91%,76%,70%,75%,60%,8%,87%,72%,92%,87%,89%,83%,0.06,6%,100,Medicare shows only a Star Rating for this topic,99%,90%,93%,97%,CMS identified issues with this plan's data,CMS identified issues with this plan's data,0.06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93%,25.90%,88%,64%,88%,27%,55%,89%,70%,63%,64%,71%,11%,88%,75%,91%,85%,87%,85%,0.16,10%,100,Medicare shows only a Star Rating for this topic,97%,87%,96%,98%,0.8,100%,0.16
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94%,29.20%,88%,80%,92%,0,69%,93%,74%,68%,86%,49%,12%,84%,81%,86%,87%,79%,86%,0.25,13%,100,Medicare shows only a Star Rating for this topic,100%,88%,96%,98%,0,0,0.25
97%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,27%,64%,92%,81%,77%,72%,58%,9%,82%,76%,88%,85%,86%,86%,0.16,5%,100,Medicare shows only a Star Rating for this topic,93%,87%,98%,95%,CMS identified issues with this plan's data,CMS identified issues with this plan's data,0.16
91%,30.80%,85%,53%,83%,28%,69%,89%,64%,56%,73%,63%,9%,81%,71%,83%,85%,84%,84%,0.19,7%,100,Medicare shows only a Star Rating for this topic,93%,91%,96%,98%,3.8,76%,0.19
99%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,44%,79%,97%,86%,80%,83%,55%,9%,88%,81%,94%,90%,93%,88%,0.1,4%,100,Medicare shows only a Star Rating for this topic,90%,96%,92%,94%,CMS identified issues with this plan's data,CMS identified issues with this plan's data,0.1
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No data available,0,0
96%,38.00%,98%,84%,90%,30%,66%,95%,82%,75%,73%,55%,10%,74%,72%,82%,83%,83%,83%,0.22,17%,80,Medicare shows only a Star Rating for this topic,96%,86%,96%,96%,2,66%,0.22
99%,78.60%,99%,97%,99%,62%,86%,97%,91%,91%,82%,56%,9%,85%,80%,86%,88%,89%,85%,0.09,5%,80,Medicare shows only a Star Rating for this topic,100%,87%,98%,98%,0,0,0.09
Plan too small to be measured,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,97%,98%,0,0,0
94%,61.40%,89%,38%,90%,0,78%,92%,80%,64%,88%,71%,14%,79%,66%,81%,82%,85%,81%,0.16,15%,100,Medicare shows only a Star Rating for this topic,99%,91%,61%,68%,0,0,0.16
Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,94%,84%,0,0,0
0,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,54%,90%,61%,38%,0,0,22%,0,0,0,0,0,0,0.3,21%,100,0,0,0,94%,98%,0,0,0.3
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94%,CMS identified issues with this plan's data,75%,39%,73%,0,58%,No data available,74%,68%,0,0,No data available,0,72%,85%,0,76%,83%,0,22%,100,0,0,0,90%,94%,0,0,0
Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure
97%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,37%,72%,99%,88%,77%,73%,61%,10%,81%,74%,84%,85%,87%,84%,0.16,5%,60,Medicare shows only a Star Rating for this topic,92%,88%,73%,74%,2.8,72%,0.16
97%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,48%,78%,94%,81%,74%,74%,57%,8%,79%,69%,85%,82%,83%,79%,0.14,14%,40,Medicare shows only a Star Rating for this topic,91%,91%,99%,98%,1,0,0.14
98%,78.60%,97%,95%,97%,83%,84%,98%,90%,95%,88%,64%,12%,86%,81%,90%,89%,91%,86%,0.07,1%,100,Medicare shows only a Star Rating for this topic,95%,79%,98%,91%,0.6,95%,0.07
96%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,37%,73%,93%,85%,78%,73%,57%,9%,80%,76%,84%,86%,85%,82%,0.16,7%,80,Medicare shows only a Star Rating for this topic,99%,97%,96%,98%,0.4,91%,0.16
96%,57.20%,92%,72%,93%,63%,78%,97%,82%,81%,74%,61%,7%,81%,73%,92%,85%,89%,82%,0.09,7%,100,Medicare shows only a Star Rating for this topic,98%,92%,93%,96%,0.4,0,0.09
98%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,55%,82%,95%,86%,88%,81%,57%,7%,76%,72%,90%,85%,89%,80%,0.04,5%,100,Medicare shows only a Star Rating for this topic,100%,86%,84%,78%,0,0,0.04
91%,30.00%,99%,77%,83%,43%,76%,96%,84%,76%,77%,58%,9%,83%,73%,87%,84%,86%,84%,0.16,11%,80,Medicare shows only a Star Rating for this topic,98%,90%,96%,96%,1.1,73%,0.16
94%,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,46%,64%,95%,82%,69%,70%,59%,8%,0,0,0,0,83%,0,0.31,7%,80,Medicare shows only a Star Rating for this topic,0,0,99%,98%,4.6,0,0.31
94%,CMS identified issues with this plan's data,84%,57%,77%,28%,78%,93%,87%,76%,66%,76%,10%,81%,73%,91%,88%,87%,84%,0.05,5%,0,Medicare shows only a Star Rating for this topic,CMS identified issues with this plan's data,CMS identified issues with this plan's data,0,0,CMS identified issues with this plan's data,CMS identified issues with this plan's data,0.05
90%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,21%,70%,85%,77%,76%,74%,57%,10%,87%,79%,92%,86%,87%,87%,0.06,4%,80,Medicare shows only a Star Rating for this topic,98%,96%,Plan not required to report measure,Plan not required to report measure,0.5,0,0.06
95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,47%,68%,93%,84%,78%,78%,55%,8%,85%,78%,88%,86%,85%,86%,0.12,5%,100,Medicare shows only a Star Rating for this topic,98%,95%,96%,98%,0.9,85%,0.12
97%,36.60%,91%,85%,94%,0,66%,89%,72%,73%,77%,68%,10%,86%,74%,87%,86%,87%,83%,0.19,11%,100,Medicare shows only a Star Rating for this topic,0,0,96%,98%,0,0,0.19
99%,77.90%,90%,95%,97%,58%,80%,95%,88%,90%,90%,58%,7%,83%,80%,88%,87%,89%,85%,0.12,2%,100,Medicare shows only a Star Rating for this topic,100%,96%,98%,91%,0,0,0.12
85%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,49%,No data available,41%,63%,0,58%,No data available,85%,78%,93%,83%,83%,80%,0,0,100,0,0,0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure
93%,97.60%,88%,99%,99%,0,89%,86%,76%,0,0,0,5%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.15,4%,100,Medicare shows only a Star Rating for this topic,100%,97%,96%,98%,0,0,0.15
86%,33.60%,71%,46%,73%,5%,72%,90%,65%,64%,83%,68%,13%,79%,76%,85%,83%,83%,83%,0.17,12%,0,Medicare shows only a Star Rating for this topic,81%,78%,82%,77%,22.8,63%,0.17
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,46%,68%,90%,76%,77%,77%,58%,10%,85%,78%,88%,85%,82%,84%,0.23,21%,100,Medicare shows only a Star Rating for this topic,99%,97%,96%,98%,0.2,85%,0.23
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No data available,0,0
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95%,45.40%,100%,87%,92%,0,70%,91%,76%,75%,0,0,10%,74%,69%,79%,81%,80%,0,0.36,18%,100,Medicare shows only a Star Rating for this topic,100%,82%,88%,89%,0,0,0.36
Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,93%,91%,0,0,0
95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,62%,92%,82%,75%,83%,53%,12%,87%,79%,91%,88%,90%,88%,0.16,9%,100,0,0,0,86%,81%,0,0,0.16
83%,22.90%,60%,60%,68%,0,60%,88%,57%,55%,0,0,11%,84%,76%,86%,86%,82%,85%,0.42,17%,80,Medicare shows only a Star Rating for this topic,91%,94%,90%,92%,7.3,0,0.42
92%,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,48%,91%,76%,65%,0,64%,13%,78%,68%,78%,81%,77%,82%,0.22,19%,0,Medicare shows only a Star Rating for this topic,100%,100%,82%,77%,13.3,0,0.22
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No data available,0,0
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,47%,79%,94%,88%,78%,82%,59%,10%,82%,67%,90%,85%,88%,82%,0.06,9%,100,Medicare shows only a Star Rating for this topic,88%,88%,93%,92%,2,77%,0.06
99%,49.20%,97%,96%,98%,79%,84%,96%,88%,81%,94%,66%,9%,81%,73%,90%,86%,88%,86%,0.18,13%,60,Medicare shows only a Star Rating for this topic,99%,97%,94%,92%,0.9,85%,0.18
93%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,30%,58%,90%,84%,63%,72%,60%,12%,80%,74%,89%,85%,83%,84%,0.4,11%,60,Medicare shows only a Star Rating for this topic,97%,94%,92%,92%,32.1,75%,0.4
